canonical_dag_hash,action_label,gps_adapter_pca_x,gps_adapter_pca_y,gps_adapter_tsne_x,gps_adapter_tsne_y,v3_graph_pca_x,v3_graph_pca_y,v3_graph_tsne_x,v3_graph_tsne_y,sbert_document_pca_x,sbert_document_pca_y,sbert_document_tsne_x,sbert_document_tsne_y
70209d3c65daca38,read,-0.35703263,-0.17964916,-9.068465,0.9986238,0.14421399,0.066329055,-3.9495509,1.0749158,0.11801245,0.4070552,-2.2320182,-3.6673856
f563dc531c9565df,read,-0.23402604,-0.3505415,-8.351673,0.33589765,0.09508772,-0.006507439,-4.9366145,1.7531354,0.1692881,0.45702732,-1.886833,-4.197893
8e52ae6e8aed80e3,read,-0.15455101,-0.4108942,-8.00914,0.17914332,0.014506156,0.03194427,-5.074432,2.139294,0.16869907,0.4657568,-1.8666427,-4.3728395
e8badc2d0c36f03b,read,-0.4174797,-0.22688502,-9.357724,0.4605208,0.12982295,0.0032685217,-3.8988714,0.41111672,0.2258128,0.29079446,-1.7962174,-3.0934937
74fe479643a5d29d,read,-0.41132954,0.3069825,-10.173012,4.0207663,0.21843469,0.15744257,-1.8503416,-2.1377048,-0.04571924,-0.35621038,5.1334805,12.277241
6bc84381969a3dfb,read,-0.42220825,0.26217055,-10.7582655,3.8282676,0.24048944,-0.07611936,-2.4678621,-1.1448925,0.024317535,-0.1593045,5.072667,11.409392
9e9a3a1974db6eb5,read,-0.35592878,0.27350053,-10.250153,4.3849945,0.19080369,0.254946,-1.8204273,-2.5084527,-0.14016226,-0.27926603,5.1499586,12.549971
70aaeead91867a08,read,-0.37534156,0.1645078,-11.208121,4.473277,0.037686493,0.23645712,-3.2487774,-2.5423467,0.02409103,-0.30408683,4.566836,12.060449
01a994d008f4a34e,read,-0.37268767,0.055305105,-11.525516,4.36737,0.055700954,0.11825438,-3.6974125,-2.5426073,0.06861831,-0.19428222,4.49097,11.467914
b0b9a7b92827f8f4,read,-0.36119607,0.288079,-10.417073,4.6312156,0.26958042,0.056813795,-1.9234891,-1.6748669,0.08627199,-0.32948217,4.9210806,11.759499
cc11184c055408d2,edit,-0.10104111,-0.40060034,3.80562,-5.4019403,-0.37208503,0.21159047,-7.348974,14.820409,0.21373889,0.13626885,-15.948122,-16.353355
cda5bddbc25e711e,edit,-0.23277986,-0.47990218,2.9765491,-5.9727817,-0.46235713,0.12273194,-7.0248384,14.171767,0.29980493,0.10816456,-16.04488,-17.163557
6413c95925d2e654,edit,-0.10540326,-0.43242052,3.481531,-5.680547,-0.29215938,0.110423446,-7.2815194,15.648919,0.15234834,0.142329,-15.792581,-16.011417
27a82a416421f2fd,edit,-0.21497986,-0.22355945,3.8314567,-6.508093,-0.37407506,0.19002047,-6.01828,15.61218,0.24294408,0.123325795,-15.182204,-16.864002
50b751728fbc4400,edit,-0.24103536,-0.15634902,3.7782273,-6.7674346,-0.40020257,0.07936785,-5.674801,15.706778,0.28286257,0.035558023,-15.235128,-17.119806
4a101b3eb30dc2d8,edit,-0.11112516,-0.40951744,3.3768446,-5.5132422,-0.42318892,0.113573745,-7.4114923,14.899108,0.17595384,0.15871188,-16.140259,-16.490543
8707e4725cad5177,read,-0.20506409,0.31195068,15.777532,-15.365037,0.36398044,-0.518304,5.922081,-20.812992,-0.19869237,-0.3069226,12.04401,1.6916653
d5dde4663b68c47c,read,-0.19950347,0.33386004,16.62472,-15.240431,0.36862427,-0.5582971,5.1205196,-20.900215,-0.120413065,-0.27102196,12.903047,1.2635497
