gallery_index,dag_id,tools,num_nodes,action_label,semantic_label,tsne_x,tsne_y,action_silhouette,semantic_silhouette,action_knn_purity,semantic_knn_purity,pca_x,pca_y
147,526,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-5.8612604,-9.924112,0.15055463,-0.034809932,1.0,0.8,-0.47235343,-0.33089226
148,527,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-5.2967114,-7.766706,0.18849537,-0.028543338,0.8,1.0,-0.47191802,0.023882221
149,528,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-4.568537,-9.479025,0.14441596,-0.03631801,0.8,1.0,-0.46751025,-0.22827211
150,529,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-6.7864532,-6.2585583,0.20779403,-0.03566846,1.0,0.6,-0.6336871,-0.01331025
151,530,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-6.7144814,-5.6941576,0.1944021,-0.010387963,1.0,0.8,-0.5356003,0.13258168
152,531,create_support_ticket;edit_username;write_database_record;reset_user_password;check_service_status,5,State Modification,Mixed,-4.155289,-10.096679,0.13983905,-0.039531842,0.6,0.8,-0.4063844,-0.2010413
153,532,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,0.06519307,-2.5323424,-0.04908861,-0.048860293,0.4,1.0,-0.07383603,-0.03084413
154,533,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,-1.24271,-5.0522256,0.03003447,0.09323509,0.6,0.6,-0.14188187,0.41105193
155,534,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,0.3611394,-3.9496706,-0.018103149,-0.07426853,0.6,1.0,-0.09558823,0.14118078
156,535,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,-2.2338657,-3.4391859,0.017534299,-0.017924981,0.8,1.0,-0.17726108,0.330217
157,536,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,-2.8581927,-3.4676712,0.021089775,-0.021501703,0.8,0.4,-0.17391768,0.41885945
158,537,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,-0.1968462,-3.9714415,-0.004984772,0.021032158,0.8,1.0,-0.13024752,0.27179724
159,538,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,2.4732509,14.213679,-0.09232298,0.1408321,1.0,0.6,0.32567734,-0.4238346
160,539,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,2.6773617,9.283624,-0.037986413,0.15359783,1.0,0.6,0.2435794,-0.21097253
161,540,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,2.9808674,12.63952,-0.09135944,0.119922556,1.0,0.6,0.33851707,-0.2660945
162,541,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,3.6587088,15.799966,-0.04825207,0.1283852,1.0,0.8,0.3624331,-0.22551537
163,542,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,3.9578793,16.308657,-0.15912767,0.09867139,0.8,0.6,0.27978292,-0.02003561
164,543,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,2.56826,13.074527,0.020846313,0.11958267,1.0,0.6,0.30160066,-0.34195414
171,550,restart_service;update_subscription_plan;scan_system_for_malware;write_database_record;reset_user_password,5,State Modification,Mixed,-8.681952,-10.833929,0.077573135,-0.03745319,0.6,0.6,-0.4024548,-0.25415292
